x,y,RA,DEC,F814W,F475W
3450.512,3848.779,49.9414049,41.9037247,24.974,26.9288
926.964,4104.263,49.9676689,41.9236562,25.074,26.24464
1533.76,1255.94,49.9875974,41.8953516,21.783,24.68532
1627.52,2709.85,49.972781,41.9069914,21.926,24.96056
1263.6,4060.09,49.9641428,41.9209752,21.922,25.02036
3986.21,517.33,49.9667147,41.8718387,22.055,24.60004
3792.08,420.86,49.9698321,41.8723895,22.005,25.1428
193.6,2651.01,49.9896387,41.9165874,21.987,25.91708
382.25,479.79,50.0080252,41.8968882,22.276,24.1378
2647.15,3177.2,49.9567713,41.9037654,22.503,23.82772
1364.39,3078.98,49.97228,41.9119665,22.143,24.74256
610.12,1238.25,49.9982638,41.9017026,22.065,25.20396
2605.59,3153.93,49.9574637,41.9038613,22.116,26.28852
1438.86,781.73,49.9931598,41.8920074,22.082,25.89144
3930.41,1794.37,49.9552719,41.8830332,22.113,25.30068
298.58,2622.14,49.9887182,41.9156043,22.139,25.24432
3654.87,3820.39,49.9392345,41.9021081,22.138,25.3512
3029.2,945,49.9735433,41.8821941,22.334,24.58788
3480.6,1862.32,49.9597395,41.8867753,22.229,26.43516
3369.21,4164.48,49.9392239,41.9070299,22.265,26.45724
900.19,3556.33,49.9730408,41.9192725,22.297,25.75612
615.02,3153.37,49.9800952,41.9178712,22.32,25.63528
2808.41,3980.18,49.9473407,41.9094211,22.356,25.60864
1929.82,1777.32,49.9781654,41.8969746,22.668,28.47728
1492.76,2840.77,49.9730743,41.9090476,22.487,25.9148
688.97,1036.15,49.9992784,41.8994376,22.512,25.92588
582.95,3167.49,49.9803263,41.9182164,22.536,25.84548
1095.21,3940.11,49.9671925,41.9211459,22.615,27.21788
1399.39,1503.44,49.9867843,41.8983913,22.561,25.57352
2072.49,2567.3,49.969072,41.9026529,22.575,26.1652
1350.41,1068.38,49.9914549,41.8950552,22.629,26.07652
2675.88,3734.8,49.9511688,41.9082791,22.707,27.34584
3751.5,1017.91,49.9646477,41.8777255,22.665,25.69028
3337.5,447.47,49.9747448,41.8758149,23.241,24.26528
1863.23,703.46,49.9890767,41.8883583,22.707,26.57908
1949.24,606.75,49.9890135,41.8869347,22.725,26.66668
3443.83,383.03,49.9741461,41.8745212,22.764,26.4934
3800.67,306.99,49.9708112,41.8713658,22.996,28.05244
1326.28,3683.99,49.9669891,41.9173525,22.846,26.55336
2881.62,2758.23,49.9580706,41.8985707,22.907,25.42188
1233.12,881.19,49.994558,41.8942969,22.98,27.68264
3038.62,1144.74,49.9715475,41.8838174,22.924,27.11392
1080.85,2836.4,49.977798,41.9119105,22.886,26.37876
428.7,2860.04,49.9849884,41.9167011,22.947,26.76108
1582.46,3321.33,49.9675083,41.9124812,23.092,26.62768
1686.68,2024.55,49.9785906,41.9007777,23.133,26.72668
2723.5,2900.02,49.958526,41.9008834,23.158,27.06836
2800.8,1936.79,49.9667592,41.8921917,23.166,27.20164
3341.68,2452.9,49.9557315,41.8927487,23.171,26.65216
1952.96,818.29,49.9869712,41.8886982,23.213,26.50972
958.93,1963.34,49.9874418,41.9053825,23.356,27.31624
2096.25,3761.88,49.9575001,41.9125899,23.326,27.37788
3755.21,3468.05,49.9414286,41.8984218,23.404,27.44544
3605.49,403.07,49.97212,41.8735526,23.339,26.57888
2354.82,3518.23,49.9568668,41.9087083,23.714,25.106
3154.68,2586.44,49.956593,41.8951949,23.403,26.53616
295.97,1037.9,50.0037296,41.9022181,23.446,27.3668
2469.17,420.84,49.9848627,41.8817022,23.452,26.69188
3201.16,1231.97,49.9688759,41.883411,23.606,27.20316
903.1,3839.65,49.9703271,41.9216487,23.637,27.00912
1240.33,551.45,49.9975935,41.8914562,23.798,28.65144
3582.96,291.48,49.973431,41.8727673,23.772,26.22308
2294.68,227.17,49.9886765,41.8812918,23.928,27.69568
1572.73,1248.24,49.9872273,41.8950121,23.963,26.51964
2659.15,1576.08,49.9717803,41.8901378,23.946,26.61864
2899.45,3789.19,49.9481135,41.9071647,24.102,28.28264
3511.56,872.6,49.9687476,41.8781857,24.001,27.5274
1675.11,234.71,49.9956463,41.8857163,24.124,28.06452
2766.08,436.46,49.9813413,41.8797443,24.19,26.05064
2816.71,1279.63,49.9727934,41.8865208,24.055,27.50832
634.1,50.69,50.0092184,41.8914849,24.152,27.56936
2430.35,802.67,49.9816938,41.8852057,24.103,26.8232
3477.08,3431.07,49.9449386,41.9000679,24.184,27.81712
1069.32,3728.89,49.9694854,41.9195415,24.494,25.81872
3174.29,3478.87,49.9479268,41.9026046,24.198,26.7732
2911.94,364.62,49.9803632,41.8781098,24.514,25.86656
1907.79,1084.37,49.9849687,41.8912673,24.234,27.65948
2382.87,2609.53,49.9651451,41.9008248,24.423,28.34264
389.96,176.06,50.0108087,41.8942637,24.546,26.25004
1430.48,2111.65,49.9806789,41.903318,24.453,28.27172
2464.94,3103.49,49.9595393,41.904425,24.496,28.14072
2593.68,195.84,49.9855751,41.8789222,24.379,27.17924
1984.68,1488.88,49.9802697,41.8941482,24.48,27.87764
1713.92,2069.71,49.9778539,41.9009679,25.415,26.0704
2793.06,2755.3,49.9591047,41.8991696,24.809,28.35048
1096.05,1321.26,49.991955,41.898985,25.083,26.52256
1191.19,3238.03,49.9727441,41.9145313,24.942,26.69592
378.96,1582.06,49.9976408,41.9062385,24.89,27.80972
187.44,3349.42,49.983102,41.9225396,24.952,28.59092
2703.14,2717.89,49.9604804,41.8994863,24.941,27.83404
2251.85,2625.96,49.9664786,41.9018863,25.727,26.1214
2743.76,3263.04,49.9548612,41.9038111,25.303,26.55812
3106.42,2854.2,49.9546083,41.8977995,25.776,26.28524
373.95,1467.91,49.9987772,41.9053079,26.024,26.27108
1337.96,3830.12,49.9654736,41.9185064,25.391,26.84448
1904.76,3237.83,49.9646349,41.9095057,25.421,26.95104
1842.13,3135.91,49.9663111,41.9090845,25.562,26.99808
675.89,3237.37,49.9786085,41.9181533,25.65,26.76824
312.8,2783.67,49.9870286,41.9168708,26.645,26.8422
3128.39,4283.39,49.940835,41.9097317,26.299,26.92656
3670.94,1408.49,49.9618692,41.8815965,26.077,26.82288
4024.17,4023.64,49.9331152,41.9012256,26.042,27.84116
142.9,2991.46,49.9869948,41.9198247,26.334,27.23996
3725.74,3840.77,49.9382364,41.9017813,26.103,27.51472
4114.96,1145.7,49.9593103,41.8762472,26.133,27.3684
2216.51,294.28,49.9889304,41.8824098,26.805,27.28756
3540.76,704.32,49.9700071,41.8765567,26.505,27.50956
528.05,2050.81,49.9915129,41.9091553,26.303,27.492
2256.29,2257.08,49.9699175,41.8987347,26.191,28.14676
3366.51,2071.29,49.9590591,41.8893462,26.84,28.02088
3028.68,1713.64,49.9662804,41.8886997,26.801,28.16284
2094.08,1294.23,49.9808671,41.8917314,27.08,27.4164
578.22,3591.23,49.9763711,41.9218344,26.696,27.66344
1900.27,3222.79,49.9648283,41.9094101,26.823,27.68604
1916.34,3004.19,49.9667137,41.9074478,26.984,27.622
1100.75,2959.35,49.9764086,41.9128105,26.9,27.77
1484.65,3753.37,49.9645324,41.9168244,26.834,28.21556
3383.41,3792.93,49.9425788,41.9037879,26.848,27.9674
2173.61,4165.68,49.9527997,41.9154604,26.883,27.82028
2758.76,2123.06,49.9654751,41.8940633,26.53,28.37092
298.92,2455.11,49.9902942,41.9141887,26.935,28.35368
3477.43,3698.43,49.9424047,41.9023265,26.966,28.19212
1855.84,2979.29,49.9676369,41.9076632,26.959,28.18396
3023.55,863.13,49.9743817,41.8815413,27.003,27.87068
3649.66,3218.48,49.9449893,41.8970546,26.986,27.96968
623.76,2738.35,49.9839218,41.9142986,26.648,28.25692
1972.86,2949.08,49.9665927,41.9065837,27.079,28.3376
2694.26,790,49.9788147,41.8832408,27.144,28.10564